source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Lindano,58-89-9,"I, A","Convenciones internacionales: R,E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Linurón,330-55-2,H,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fosfuro de magnesio,12057-74-8,Fum,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Mancozeb[4],8018-01-7,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Mecarbam,2595-54-2,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Mercurio y sus compuestos,,Fun,Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Metamidofós,10265-92-6,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Metidatión,950-37-8,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Metoxicloro,72-43-5,I,Toxicidad aguda: 1B; Convenciones internacionales: E,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Metiocarb,2032-65-7,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Metomilo,16752-77-5,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Bromuro de metilo,74-83-9,Fum,Convenciones internacionales: M,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Mevinfós,7786-34-7,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Molinato,2212-67-1,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Monocrotofós,6923-22-4,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Nicotina,54-11-5,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Nitrobenceno,98-95-3,"I, A",Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Ometoato,1113-02-6,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Oxamil,23135-22-0,"N, I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Oxidemetón-metilo,301-12-2,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Aceites de parafina con un contenido de DMSO > 3%,,"Ady, A, Fun",Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Paraquat,4685-14-7,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dicloruro de paraquat,1910-42-5,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Paratión,56-38-2,"I, A",Toxicidad aguda: 1A; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Paratión-metilo,298-00-0,"I, A",Toxicidad aguda: 1A; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,PCF; Pentaclorofenol y sus sales,87-86-5,Conserv. Mad.,"Toxicidad aguda: 1B; Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Forato,298-02-2,"I, A",Toxicidad aguda: 1A; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fosfamidón,13171-21-6,"I, A",Toxicidad aguda: 1A; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fosfina,7803-51-2,Fum,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Profoxidim,139001-49-3,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Propetamfós,31218-83-4,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Propiconazol,60207-90-1,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,"Óxido de propileno, Oxirano",75-56-9,Fum,Carcinogenicidad: ✓; Mutagenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Quizalofop-p-tefuril,119738-06-6,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Silafluofeno,105024-66-6,"I, A",Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Cianuro de sodio,143-33-9,R,Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Fluoracetato de sodio (1080),62-74-8,R,Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Espirodiclofeno,148477-71-8,"I, A",Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Estricnina,57-24-9,R,Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Sulfluramida,4151-50-2,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Sulfotep,3689-24-5,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Tebupirimifos,96182-53-5,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Teflutrina,79538-32-2,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Tepraloxidim,149979-41-9,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Terbufós,13071-79-9,"N, I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Sulfato de talio,7446-18-6,R,Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
